Stream,Physics,Chemistry,Biology,English,ComputerScience,Mathematics,Accountancy,BusinessStudies,Economics,History,Geography,PoliticalScience,Sociology,Interest_Tech,Interest_Entrepreneurship,Interest_Leadership,Interest_Innovation,Interest_CriticalThinking,Interest_Research,Interest_ComputerSkill,Interest_HardwareSkill,Interest_Food,Interest_Creativity,PositiveThinking,Participated_Hackathon,Participated_Olympiad,Participated_Kabaddi,Participated_KhoKho,Participated_Cricket,CareerOption
Commerce,,,,73,,50,96,57,67,,,,,0,0,1,1,0,1,0,1,1,1,0,1,0,1,0,0,Teacher
Science_PCM,54,89,,58,58,72,,,,,,,,1,0,1,1,1,0,0,1,0,1,0,1,1,1,0,0,Politician
Science_PCM,65,94,,63,82,86,,,,,,,,0,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,Politician
Arts,,,,70,,,,,,86,83,92,67,1,1,0,1,0,1,1,1,0,0,0,1,1,1,0,0,Teacher
Science_PCB,75,100,83,60,61,,,,,,,,,1,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,Doctor
Science_PCB,89,58,77,56,84,,,,,,,,,1,1,0,1,1,0,1,1,1,1,0,0,1,0,1,0,Software Developer
Arts,,,,93,,,,,,76,69,72,54,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,Artist
Science_PCB,55,66,95,68,99,,,,,,,,,1,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,Artist
Science_PCM,89,68,,71,66,65,,,,,,,,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,0,Teacher
Science_PCB,61,98,53,58,59,,,,,,,,,0,1,0,1,1,1,0,1,0,1,0,0,0,1,0,0,Software Developer
Science_PCM,98,50,,67,79,51,,,,,,,,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,Entrepreneur
Science_PCM,91,74,,88,88,58,,,,,,,,1,1,0,0,0,1,1,1,0,1,0,1,0,0,0,1,Teacher
Science_PCB,54,99,93,51,91,,,,,,,,,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,Teacher
Science_PCB,65,96,52,89,91,,,,,,,,,0,1,1,1,1,0,1,1,0,1,1,0,1,1,0,0,Scientist
Science_PCB,89,78,59,81,75,,,,,,,,,0,1,0,0,1,0,1,1,1,1,0,1,1,1,0,1,Politician
Science_PCM,52,97,,68,60,78,,,,,,,,0,1,0,0,0,1,0,1,0,1,1,0,1,1,1,0,Teacher
Science_PCM,62,80,,92,88,90,,,,,,,,1,0,1,0,1,0,1,1,1,0,0,0,1,1,0,1,Politician
Commerce,,,,96,,94,77,86,69,,,,,1,1,0,0,1,1,1,0,1,1,1,1,0,1,0,1,Teacher
Science_PCM,83,68,,76,96,61,,,,,,,,1,1,1,0,1,0,0,0,1,0,1,0,1,1,0,0,Entrepreneur
Science_PCM,75,82,,70,56,53,,,,,,,,1,0,0,1,1,0,1,1,0,0,1,0,1,0,0,0,Politician
Commerce,,,,84,,86,54,94,95,,,,,0,1,0,0,1,1,0,0,1,0,1,1,1,1,1,0,Doctor
Commerce,,,,58,,87,79,51,73,,,,,1,0,1,1,1,0,1,0,0,1,0,0,1,0,1,0,Teacher
Arts,,,,83,,,,,,77,94,89,52,0,1,1,0,1,1,1,0,0,0,0,0,1,1,0,0,Artist
Arts,,,,80,,,,,,62,86,78,79,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,1,Scientist
Arts,,,,92,,,,,,71,96,99,56,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,Entrepreneur
Science_PCM,80,82,,88,56,99,,,,,,,,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,1,Engineer
Commerce,,,,97,,78,93,68,90,,,,,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,Chartered Accountant
Science_PCB,67,84,82,76,97,,,,,,,,,0,0,1,1,1,0,0,1,0,1,1,1,0,0,0,0,Entrepreneur
Commerce,,,,92,,52,67,99,71,,,,,1,0,0,0,1,0,1,0,1,1,1,0,1,0,0,1,Doctor
Commerce,,,,57,,60,94,87,81,,,,,0,1,0,0,0,1,0,0,0,1,1,1,0,1,1,1,Engineer
Science_PCM,70,72,,65,82,80,,,,,,,,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,Engineer
Arts,,,,67,,,,,,79,53,71,94,0,1,0,1,0,1,0,1,0,1,1,1,0,1,0,0,Politician
Commerce,,,,85,,79,66,65,76,,,,,0,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,Doctor
Commerce,,,,65,,73,91,67,72,,,,,0,0,1,0,0,1,1,1,1,1,1,0,1,1,0,0,Engineer
Science_PCB,82,81,78,58,93,,,,,,,,,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,1,Scientist
Commerce,,,,68,,61,89,71,64,,,,,1,1,0,0,0,1,0,1,1,1,1,1,0,1,0,0,Scientist
Science_PCM,89,79,,85,85,67,,,,,,,,1,1,0,1,0,1,1,0,1,0,1,0,1,1,0,0,Software Developer
Science_PCB,96,57,58,78,72,,,,,,,,,1,1,1,1,1,0,0,1,1,0,0,1,1,0,1,0,Teacher
Science_PCB,62,61,62,87,51,,,,,,,,,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,0,Teacher
Arts,,,,81,,,,,,74,100,86,81,0,1,1,0,0,1,0,1,1,1,1,0,0,0,1,1,Chartered Accountant
Commerce,,,,94,,95,59,99,59,,,,,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,Politician
Commerce,,,,68,,100,81,96,59,,,,,0,0,1,0,1,1,1,0,0,0,1,0,1,1,1,1,Chartered Accountant
Arts,,,,76,,,,,,61,92,69,99,1,0,1,1,0,0,0,1,1,1,1,1,0,1,1,1,Entrepreneur
Science_PCB,51,52,78,63,90,,,,,,,,,1,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,Software Developer
Science_PCB,83,70,84,58,88,,,,,,,,,1,0,0,0,1,0,0,1,0,1,1,1,1,1,1,0,Scientist
Arts,,,,59,,,,,,81,78,94,65,1,1,0,1,0,1,1,0,0,1,0,1,1,1,0,0,Chartered Accountant
Commerce,,,,99,,94,82,73,76,,,,,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,Software Developer
Commerce,,,,84,,83,51,57,60,,,,,1,0,1,1,0,0,0,1,1,0,0,0,1,1,1,0,Engineer
Arts,,,,74,,,,,,68,58,57,80,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,Software Developer
Commerce,,,,68,,60,93,71,67,,,,,0,1,1,1,1,0,0,0,1,0,1,0,1,0,1,0,Teacher
Arts,,,,71,,,,,,63,56,90,54,0,0,0,1,1,0,1,1,1,0,0,0,0,1,1,1,Chartered Accountant
Science_PCM,67,73,,96,79,73,,,,,,,,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,Athlete
Science_PCM,57,86,,52,62,86,,,,,,,,1,0,1,1,0,0,1,1,0,1,1,1,1,1,0,1,Athlete
Arts,,,,76,,,,,,73,95,87,81,1,1,0,1,1,1,0,1,1,1,1,0,0,1,1,0,Teacher
Arts,,,,50,,,,,,75,96,51,69,0,0,0,1,1,1,1,1,1,0,1,0,1,0,1,0,Doctor
Arts,,,,93,,,,,,90,86,58,87,1,0,0,1,1,0,0,1,0,1,1,1,0,0,0,0,Politician
Science_PCB,51,66,94,95,66,,,,,,,,,1,1,0,0,0,0,0,1,0,1,1,1,0,1,1,1,Athlete
Arts,,,,83,,,,,,61,83,83,93,1,1,1,1,0,0,1,0,1,1,1,1,0,0,1,1,Politician
Science_PCM,52,75,,58,90,60,,,,,,,,0,0,0,0,1,1,1,0,1,0,1,1,0,1,0,0,Artist
Science_PCM,83,52,,70,71,95,,,,,,,,1,0,1,1,0,0,1,0,1,1,1,1,0,0,1,1,Engineer
Arts,,,,52,,,,,,55,88,59,89,0,1,1,0,0,0,0,1,1,0,0,0,1,1,1,1,Doctor
Science_PCB,63,72,83,62,91,,,,,,,,,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,Athlete
Science_PCM,69,81,,99,57,51,,,,,,,,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,1,Artist
Arts,,,,72,,,,,,60,82,83,52,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,Chartered Accountant
Science_PCB,54,73,80,96,72,,,,,,,,,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,Teacher
Science_PCM,93,73,,57,76,74,,,,,,,,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,Software Developer
Arts,,,,93,,,,,,57,76,74,88,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,Doctor
Commerce,,,,55,,83,89,82,77,,,,,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,Entrepreneur
Commerce,,,,100,,67,70,62,88,,,,,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,Engineer
Science_PCM,75,70,,73,80,58,,,,,,,,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,Politician
Commerce,,,,94,,71,69,82,64,,,,,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,Politician
Science_PCB,51,95,98,91,88,,,,,,,,,0,0,0,1,1,1,0,1,0,1,1,0,1,1,0,0,Software Developer
Commerce,,,,77,,71,59,54,86,,,,,1,0,0,1,1,0,0,1,1,0,1,1,1,1,1,1,Artist
Science_PCM,74,55,,93,91,97,,,,,,,,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,Scientist
Science_PCB,100,86,60,85,91,,,,,,,,,1,1,0,0,0,1,1,0,1,1,0,0,0,0,1,1,Politician
Science_PCB,98,59,74,92,70,,,,,,,,,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,Athlete
Science_PCM,92,94,,91,93,57,,,,,,,,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,Entrepreneur
Commerce,,,,67,,86,80,95,84,,,,,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,Doctor
Science_PCM,88,54,,84,93,74,,,,,,,,1,1,0,0,1,1,0,1,0,1,0,0,0,1,0,1,Politician
Commerce,,,,89,,95,81,94,84,,,,,0,1,0,1,1,0,1,0,0,0,0,1,1,0,1,0,Scientist
Science_PCB,72,56,70,79,82,,,,,,,,,0,1,1,1,1,1,0,1,0,1,1,0,1,1,0,0,Artist
Commerce,,,,62,,78,69,69,85,,,,,1,0,0,0,1,1,0,1,1,1,1,0,1,0,1,1,Athlete
Commerce,,,,80,,92,92,72,68,,,,,1,1,1,0,0,0,0,0,1,0,1,1,0,1,0,1,Scientist
Science_PCB,68,70,72,97,62,,,,,,,,,0,0,1,1,1,0,1,1,0,1,1,0,0,0,0,1,Entrepreneur
Science_PCM,91,81,,59,71,53,,,,,,,,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Politician
Commerce,,,,83,,76,100,52,65,,,,,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,Doctor
Commerce,,,,65,,85,53,99,85,,,,,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,Scientist
Science_PCB,77,99,86,86,66,,,,,,,,,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,Software Developer
Commerce,,,,57,,100,56,96,83,,,,,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,Software Developer
Science_PCB,61,60,100,93,76,,,,,,,,,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,Entrepreneur
Science_PCB,83,85,58,68,60,,,,,,,,,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,1,Athlete
Science_PCB,74,84,73,62,67,,,,,,,,,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,Artist
Science_PCM,83,81,,67,88,91,,,,,,,,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,Athlete
Commerce,,,,62,,99,88,51,68,,,,,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,Software Developer
Commerce,,,,74,,75,95,83,91,,,,,1,0,0,1,0,1,1,0,1,0,1,1,0,0,0,1,Doctor
Commerce,,,,67,,69,86,60,52,,,,,1,1,0,0,1,0,1,1,0,1,1,1,0,1,1,1,Entrepreneur
Science_PCB,97,98,75,94,94,,,,,,,,,0,1,1,1,0,0,0,1,0,1,0,0,1,0,1,0,Scientist
Commerce,,,,67,,61,90,82,62,,,,,0,1,1,0,1,0,1,1,0,1,1,1,1,1,0,0,Scientist
Science_PCM,99,66,,97,61,61,,,,,,,,0,0,1,1,0,1,1,0,1,1,1,0,0,1,1,0,Artist
Commerce,,,,82,,89,79,52,70,,,,,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,Doctor
Commerce,,,,54,,99,83,81,76,,,,,0,0,1,0,0,0,1,1,1,0,1,1,0,0,1,0,Teacher
Arts,,,,66,,,,,,82,51,89,81,0,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,Scientist
Science_PCM,61,55,,57,95,82,,,,,,,,0,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0,Entrepreneur
Science_PCB,91,82,66,66,59,,,,,,,,,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,Chartered Accountant
Science_PCM,66,64,,98,61,97,,,,,,,,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,Politician
Arts,,,,98,,,,,,65,74,94,63,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,Teacher
Arts,,,,98,,,,,,66,75,62,96,0,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1,Teacher
Commerce,,,,88,,74,86,86,85,,,,,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,Chartered Accountant
Science_PCB,85,87,95,80,77,,,,,,,,,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,Software Developer
Commerce,,,,99,,94,77,98,73,,,,,0,0,0,0,1,0,1,0,0,1,1,1,0,0,1,0,Chartered Accountant
Arts,,,,82,,,,,,66,76,50,76,0,0,0,1,1,0,1,1,1,0,0,0,1,0,1,1,Artist
Science_PCM,82,67,,90,60,66,,,,,,,,1,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,Artist
Science_PCB,77,51,81,55,91,,,,,,,,,0,0,0,1,1,0,1,1,0,1,0,0,0,0,1,0,Politician
Arts,,,,72,,,,,,84,95,80,95,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,Politician
Commerce,,,,85,,90,67,91,62,,,,,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,Scientist
Commerce,,,,88,,53,88,82,88,,,,,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,Politician
Science_PCM,80,60,,87,60,59,,,,,,,,0,1,0,1,0,1,1,0,0,0,1,0,1,1,0,1,Entrepreneur
Arts,,,,77,,,,,,99,69,66,68,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,Chartered Accountant
Commerce,,,,75,,84,81,83,53,,,,,1,1,0,0,1,1,1,1,0,1,1,0,1,0,1,1,Software Developer
Science_PCB,83,54,97,72,86,,,,,,,,,1,1,0,0,0,1,1,1,1,1,0,0,1,1,0,0,Scientist
Science_PCM,66,77,,66,90,91,,,,,,,,1,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,Entrepreneur
Commerce,,,,71,,52,90,86,93,,,,,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,Politician
Arts,,,,75,,,,,,87,70,72,83,1,0,1,1,0,0,1,1,1,0,1,0,1,1,1,1,Doctor
Commerce,,,,80,,58,53,58,67,,,,,0,0,0,1,1,1,0,0,0,1,1,0,1,1,1,1,Engineer
Science_PCM,94,77,,93,80,96,,,,,,,,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,Doctor
Commerce,,,,64,,62,81,83,65,,,,,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,Scientist
Arts,,,,82,,,,,,91,59,64,62,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,Scientist
Arts,,,,72,,,,,,57,67,83,83,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,1,Athlete
Science_PCM,100,51,,94,84,98,,,,,,,,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,Chartered Accountant
Commerce,,,,95,,52,52,80,75,,,,,0,1,1,0,1,0,1,0,0,1,0,1,1,1,0,0,Artist
Science_PCM,97,67,,75,59,53,,,,,,,,1,0,0,1,0,1,1,1,1,0,0,0,1,1,1,0,Engineer
Science_PCB,57,90,53,87,88,,,,,,,,,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,1,Scientist
Science_PCM,68,84,,77,92,52,,,,,,,,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,Engineer
Commerce,,,,93,,81,85,85,76,,,,,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0,Software Developer
Commerce,,,,56,,55,89,70,57,,,,,1,0,0,1,0,0,1,1,0,1,0,1,1,0,0,1,Artist
Arts,,,,74,,,,,,99,62,61,97,1,1,1,0,1,1,0,1,1,0,0,1,1,1,0,1,Athlete
Arts,,,,59,,,,,,63,71,50,77,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,Chartered Accountant
Science_PCB,99,66,72,59,65,,,,,,,,,0,0,0,1,0,1,0,1,0,1,1,0,1,1,0,1,Artist
Arts,,,,52,,,,,,83,86,99,75,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0,0,Entrepreneur
Science_PCM,99,71,,94,50,50,,,,,,,,1,0,1,1,1,0,1,0,1,0,1,1,1,0,1,1,Chartered Accountant
Science_PCM,69,85,,89,73,55,,,,,,,,1,1,0,1,0,0,0,1,0,1,1,1,0,1,1,0,Artist
Commerce,,,,51,,64,86,75,93,,,,,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,Athlete
Commerce,,,,94,,81,77,90,51,,,,,0,0,0,0,1,0,1,1,0,1,1,0,0,1,1,0,Entrepreneur
Science_PCM,89,92,,52,89,94,,,,,,,,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,1,Software Developer
Arts,,,,81,,,,,,52,82,61,86,0,1,1,1,0,1,1,1,0,1,0,1,0,0,0,0,Scientist
Science_PCB,62,77,55,70,100,,,,,,,,,0,1,1,1,1,1,1,0,1,0,1,1,0,1,0,0,Scientist
Science_PCM,92,98,,92,86,79,,,,,,,,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,1,Engineer
Arts,,,,90,,,,,,51,58,59,82,0,1,0,0,0,1,1,0,1,0,1,0,1,0,0,1,Software Developer
Arts,,,,81,,,,,,54,92,52,86,0,0,1,1,0,1,1,1,0,1,0,1,1,0,1,0,Engineer
Commerce,,,,74,,91,82,81,66,,,,,0,1,0,0,1,0,0,0,1,0,1,1,1,0,1,0,Teacher
Commerce,,,,94,,61,53,52,61,,,,,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1,Scientist
Science_PCM,55,84,,96,63,70,,,,,,,,1,1,0,0,0,0,1,1,1,0,1,0,0,1,1,1,Athlete
Science_PCM,90,86,,95,63,62,,,,,,,,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,Politician
Commerce,,,,60,,93,85,66,94,,,,,0,0,1,1,0,0,1,0,0,1,1,1,0,0,1,1,Entrepreneur
Commerce,,,,55,,78,76,82,58,,,,,0,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,Scientist
Science_PCB,64,61,78,96,52,,,,,,,,,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,Politician
Science_PCB,57,55,94,93,70,,,,,,,,,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,Doctor
Commerce,,,,78,,81,100,82,50,,,,,1,0,0,0,1,1,1,1,0,0,0,1,0,1,1,1,Software Developer
Commerce,,,,60,,63,95,97,92,,,,,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,Engineer
Science_PCB,59,93,91,89,79,,,,,,,,,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,Artist
Commerce,,,,90,,72,89,56,60,,,,,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,Athlete
Arts,,,,79,,,,,,58,97,92,73,0,1,0,1,0,1,0,1,0,0,0,1,0,1,1,0,Doctor
Arts,,,,61,,,,,,82,86,57,86,1,1,0,0,0,1,1,1,1,1,1,0,1,0,0,0,Scientist
Science_PCB,100,71,53,58,82,,,,,,,,,0,0,1,1,1,0,1,0,0,0,1,1,1,0,0,1,Politician
Science_PCB,76,86,59,83,73,,,,,,,,,1,0,1,0,0,1,1,1,1,0,1,1,0,1,1,0,Doctor
Arts,,,,62,,,,,,54,58,61,87,0,1,1,0,0,1,1,1,0,1,1,1,0,1,0,1,Software Developer
Commerce,,,,72,,83,83,88,55,,,,,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,Engineer
Science_PCB,86,69,70,89,73,,,,,,,,,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,Entrepreneur
Science_PCM,68,92,,57,77,76,,,,,,,,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,Scientist
Commerce,,,,94,,76,60,61,62,,,,,1,0,0,1,1,0,1,1,1,1,1,0,0,0,1,0,Chartered Accountant
Arts,,,,65,,,,,,58,79,71,65,0,1,1,1,1,0,0,1,1,1,1,0,1,0,0,0,Software Developer
Commerce,,,,84,,59,57,64,69,,,,,0,0,1,0,0,0,0,1,1,1,1,0,0,1,0,0,Athlete
Science_PCM,50,67,,78,69,69,,,,,,,,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,0,Software Developer
Commerce,,,,84,,54,72,67,63,,,,,0,1,0,1,1,1,1,0,1,0,0,1,1,0,0,0,Engineer
Commerce,,,,96,,80,68,66,86,,,,,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,Doctor
Science_PCB,66,68,54,74,79,,,,,,,,,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,Politician
Arts,,,,83,,,,,,60,60,86,96,0,0,0,1,0,0,0,1,1,0,1,1,0,1,0,1,Doctor
Arts,,,,74,,,,,,71,81,62,76,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,Entrepreneur
Science_PCM,54,87,,69,87,57,,,,,,,,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,Politician
Commerce,,,,86,,63,65,50,80,,,,,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,1,Entrepreneur
Science_PCM,94,70,,50,71,100,,,,,,,,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,Artist
Commerce,,,,75,,53,86,59,79,,,,,0,0,1,0,1,0,0,1,1,1,0,1,1,0,1,0,Artist
Science_PCM,97,93,,98,61,71,,,,,,,,0,0,1,1,1,0,1,0,1,0,1,1,0,0,1,1,Engineer
Arts,,,,69,,,,,,50,65,63,64,0,1,1,0,1,0,1,1,1,0,0,1,0,1,0,0,Politician
Science_PCB,93,88,67,78,96,,,,,,,,,1,1,1,0,0,0,0,1,1,1,0,0,0,1,1,1,Artist
Science_PCB,88,82,73,56,99,,,,,,,,,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,1,Politician
Science_PCM,52,56,,54,74,81,,,,,,,,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,Politician
Science_PCB,76,92,76,93,80,,,,,,,,,0,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,Engineer
Science_PCB,53,68,63,84,63,,,,,,,,,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,Teacher
Science_PCB,71,52,62,73,90,,,,,,,,,1,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,Engineer
Commerce,,,,51,,76,69,66,50,,,,,0,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0,Engineer
Commerce,,,,91,,92,94,78,51,,,,,0,1,1,1,0,0,1,0,1,1,1,1,0,0,1,1,Artist
Arts,,,,91,,,,,,95,98,89,52,1,1,1,1,0,1,1,1,0,1,0,0,1,1,0,1,Politician
Science_PCM,52,65,,53,83,94,,,,,,,,1,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,Entrepreneur
Arts,,,,63,,,,,,94,90,59,89,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0,1,Doctor
Science_PCM,88,59,,100,89,84,,,,,,,,1,1,1,0,0,1,1,0,0,0,1,1,0,1,1,1,Chartered Accountant
Commerce,,,,71,,94,81,94,81,,,,,1,1,0,1,0,1,0,0,0,1,1,1,1,1,0,0,Engineer
Arts,,,,74,,,,,,62,85,89,50,1,0,1,0,0,0,1,0,0,1,1,1,1,0,1,0,Scientist
Science_PCM,96,64,,75,88,61,,,,,,,,1,0,1,0,1,1,1,1,0,0,1,0,0,0,1,0,Athlete
Arts,,,,52,,,,,,89,100,94,64,1,1,0,0,1,0,0,1,1,0,1,1,1,1,0,0,Teacher
Arts,,,,51,,,,,,73,78,70,52,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,Chartered Accountant
Science_PCB,53,87,93,84,59,,,,,,,,,1,1,1,1,0,0,0,1,0,0,1,1,1,0,1,1,Teacher
Science_PCM,89,73,,74,98,83,,,,,,,,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,Engineer
Science_PCB,87,60,78,53,78,,,,,,,,,0,1,1,0,0,0,0,1,1,0,1,0,1,1,1,1,Chartered Accountant
Science_PCM,64,66,,92,75,69,,,,,,,,0,1,1,0,0,1,0,0,1,1,1,0,1,1,0,0,Politician
Science_PCB,72,55,50,52,65,,,,,,,,,1,1,0,0,1,1,1,0,0,1,1,0,1,1,1,0,Politician
Science_PCM,70,92,,52,80,98,,,,,,,,0,1,1,0,1,1,0,1,0,1,0,1,0,0,1,0,Scientist
Arts,,,,85,,,,,,88,80,50,92,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,Software Developer
Commerce,,,,75,,98,63,53,59,,,,,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,Athlete
Arts,,,,50,,,,,,51,97,73,67,1,0,0,1,1,0,0,1,1,1,0,1,1,0,0,0,Doctor
Arts,,,,64,,,,,,65,62,51,62,0,0,0,0,1,1,0,1,1,0,1,1,1,1,0,0,Software Developer
Science_PCM,71,65,,52,88,82,,,,,,,,0,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,Artist
Commerce,,,,82,,87,86,62,94,,,,,1,0,0,0,1,1,1,1,0,1,0,1,1,1,0,1,Teacher
Commerce,,,,76,,57,98,83,68,,,,,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,Athlete
Science_PCB,62,75,52,84,60,,,,,,,,,0,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1,Politician
Science_PCM,67,80,,61,79,81,,,,,,,,0,1,1,0,0,1,1,0,1,0,1,1,0,1,0,0,Politician
Science_PCM,95,56,,74,93,89,,,,,,,,1,1,1,1,0,1,0,0,1,1,1,0,0,1,0,1,Politician
Science_PCB,73,59,91,95,83,,,,,,,,,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,1,Teacher
Commerce,,,,88,,52,56,93,57,,,,,0,1,1,0,1,0,1,0,0,1,0,0,1,1,0,1,Scientist
Arts,,,,78,,,,,,59,68,58,95,0,0,1,1,1,0,1,0,1,0,1,0,0,0,1,1,Teacher
Science_PCB,75,74,76,94,66,,,,,,,,,0,1,1,0,1,0,0,1,1,1,0,1,1,1,0,1,Teacher
Science_PCM,88,63,,74,95,71,,,,,,,,1,0,1,0,1,1,1,0,0,1,0,0,1,1,0,0,Teacher
Science_PCM,94,59,,66,96,75,,,,,,,,0,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,Athlete
Commerce,,,,51,,91,89,94,100,,,,,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,1,Teacher
Arts,,,,92,,,,,,86,99,63,83,0,0,1,1,1,0,1,1,0,1,0,0,0,1,1,1,Doctor
